5.91E+02,7.48E+02,,1.58E+02
6.28E+02,7.35E+02,,1.07E+02
7.39E+02,7.21E+02,,-1.74E+01
5.91E+02,6.44E+02,,5.34E+01
8.58E+02,8.26E+02,,-3.23E+01
9.28E+02,7.04E+02,,-2.24E+02
6.34E+02,6.12E+02,,-2.14E+01
6.88E+02,6.95E+02,,7.61E+00
6.57E+02,6.29E+02,,-2.74E+01
6.00E+02,5.46E+02,,-5.46E+01
5.56E+02,5.94E+02,,3.77E+01
7.80E+02,7.62E+02,,-1.80E+01
7.01E+02,7.38E+02,,3.69E+01
5.05E+02,6.43E+02,,1.38E+02
7.52E+02,6.74E+02,,-7.78E+01
8.45E+02,9.62E+02,,1.17E+02
4.97E+02,6.17E+02,,1.20E+02
9.01E+02,7.64E+02,,-1.37E+02
6.60E+02,8.07E+02,,1.47E+02
6.36E+02,7.68E+02,,1.32E+02
7.00E+02,8.09E+02,,1.09E+02
6.18E+02,5.68E+02,,-5.00E+01
5.89E+02,6.32E+02,,4.28E+01
7.63E+02,8.67E+02,,1.05E+02
5.68E+02,5.76E+02,,7.33E+00
1.05E+03,8.47E+02,,-2.02E+02
7.07E+02,6.02E+02,,-1.05E+02
6.18E+02,6.99E+02,,8.10E+01
6.14E+02,5.45E+02,,-6.83E+01
8.46E+02,8.90E+02,,4.41E+01
5.75E+02,5.98E+02,,2.24E+01
6.15E+02,6.50E+02,,3.49E+01
6.34E+02,5.63E+02,,-7.04E+01
7.78E+02,8.09E+02,,3.10E+01
6.46E+02,5.72E+02,,-7.42E+01
7.38E+02,7.02E+02,,-3.55E+01
7.65E+02,7.96E+02,,3.16E+01
6.58E+02,7.61E+02,,1.03E+02
7.65E+02,7.65E+02,,1.59E-01
7.76E+02,7.38E+02,,-3.79E+01
6.79E+02,6.73E+02,,-6.02E+00
5.01E+02,5.55E+02,,5.37E+01
7.18E+02,7.63E+02,,4.50E+01
6.97E+02,7.10E+02,,1.35E+01
7.97E+02,7.24E+02,,-7.30E+01
6.82E+02,7.23E+02,,4.14E+01
7.43E+02,7.70E+02,,2.72E+01
6.82E+02,6.91E+02,,9.38E+00
7.41E+02,7.92E+02,,5.14E+01
7.87E+02,7.43E+02,,-4.44E+01
7.68E+02,6.86E+02,,-8.23E+01
6.58E+02,8.22E+02,,1.64E+02
6.47E+02,7.51E+02,,1.04E+02
6.80E+02,7.35E+02,,5.44E+01
6.93E+02,6.99E+02,,5.83E+00
8.10E+02,8.89E+02,,7.90E+01
6.78E+02,5.98E+02,,-8.08E+01
7.19E+02,7.43E+02,,2.44E+01
6.64E+02,5.70E+02,,-9.44E+01
6.98E+02,6.31E+02,,-6.64E+01
8.38E+02,7.21E+02,,-1.17E+02
7.25E+02,5.42E+02,,-1.83E+02
7.21E+02,8.91E+02,,1.70E+02
5.34E+02,5.50E+02,,1.54E+01
6.53E+02,7.04E+02,,5.16E+01
6.37E+02,5.23E+02,,-1.13E+02
6.75E+02,6.77E+02,,1.48E+00
6.82E+02,6.70E+02,,-1.20E+01
8.27E+02,8.58E+02,,3.09E+01
6.47E+02,6.58E+02,,1.13E+01
6.04E+02,6.91E+02,,8.71E+01
6.81E+02,6.67E+02,,-1.39E+01
7.10E+02,7.88E+02,,7.87E+01
7.75E+02,8.36E+02,,6.10E+01
5.59E+02,6.09E+02,,5.04E+01
7.51E+02,7.41E+02,,-1.05E+01
8.88E+02,9.39E+02,,5.15E+01
6.84E+02,6.41E+02,,-4.25E+01
6.75E+02,5.86E+02,,-8.84E+01
7.06E+02,6.56E+02,,-4.98E+01
7.94E+02,8.10E+02,,1.57E+01
7.24E+02,8.41E+02,,1.17E+02
6.41E+02,6.22E+02,,-1.88E+01
6.45E+02,6.55E+02,,1.01E+01
9.24E+02,8.23E+02,,-1.01E+02
6.61E+02,7.16E+02,,5.50E+01
6.51E+02,6.73E+02,,2.24E+01
5.09E+02,5.99E+02,,8.96E+01
7.80E+02,6.76E+02,,-1.04E+02
6.73E+02,7.51E+02,,7.82E+01
7.11E+02,7.05E+02,,-6.16E+00
5.38E+02,5.93E+02,,5.48E+01
7.93E+02,7.60E+02,,-3.29E+01
6.42E+02,6.02E+02,,-4.07E+01
6.92E+02,7.33E+02,,4.10E+01
7.42E+02,7.43E+02,,8.35E-01
6.09E+02,5.46E+02,,-6.28E+01
5.98E+02,5.78E+02,,-2.04E+01
7.97E+02,9.09E+02,,1.12E+02
6.51E+02,6.10E+02,,-4.12E+01
